Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material Involved,Movement Type,History
986,AP/EK/83E03/2021/35,Arunachal Pradesh,East Kameng,NH-31 slide-25,NH-35,27.177667,93.148694,Soil,Slide,NA
987,AP/EK/83E03/2021/36,Arunachal Pradesh,East Kameng,NH-31 slide-26,NH-35,27.177667,93.148694,Soil,Slide,NA
988,AP/EK/83E03/2021/37,Arunachal Pradesh,East Kameng,NH-31 slide-27,NH-35,27.177667,93.148694,Soil,Slide,NA
989,AP/EK/83E03/2021/38,Arunachal Pradesh,East Kameng,NH-31 slide-28,NH-35,27.177667,93.148694,Soil,Slide,NA
990,AR/CHNG/83M12/2022/057,Arunachal Pradesh,Changlang,1.2km W of Simran New Thamlom,Changlang-Margherita road (NH215),27.178695,95.735218,Rock,Fall,NA
991,AR/WKG/83A12/2021/042,Arunachal Pradesh,West Kameng,Seppa Road Slide 3,Seppa Road Section,27.182278,92.599889,Debris,Slide,NA
992,AR/WKG/83A12/2021/043,Arunachal Pradesh,West Kameng,Seppa Road Slide 4,Seppa Road Section,27.183833,92.599333,Debris,Slide,NA
993,AR/CHNG/83M12/2022/058,Arunachal Pradesh,Changlang,200m N of Thamsung,Changlang-Margherita road (NH215),27.187767,95.732008,Debris,Slide,NA
994,AR/CHNG/83M12/2022/060,Arunachal Pradesh,Changlang,600m S of Nagoithong,Changlang-Margherita road (NH215),27.188551,95.703582,Debris,Slide,NA
995,AP/EK/83E04/2021/30,Arunachal Pradesh,East Kameng,NH-31 slide-20,NH-34,27.188694,93.136056,Rock,Fall,NA
996,AR/CHNG/83M12/2022/059,Arunachal Pradesh,Changlang,1.5km SW of Thingdang,Changlang-Margherita road (NH215),27.190295,95.716317,Rock,Rock fall,NA
997,AR/WKG/83A12/2021/044,Arunachal Pradesh,West Kameng,Seppa Road Slide 5,Seppa Road Section,27.190861,92.607806,Debris,Slide,NA
998,AR/WKG/83A12/2021/045,Arunachal Pradesh,West Kameng,Seppa Road Slide 6,Seppa Road Section,27.191667,92.610111,Debris,Slide,NA
999,ARN/LS/83E15/2016/04,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.193425,93.780983,Debris,Slide,16 July 2016
1000,AP/PAP/83E16/2021/12,Arunachal Pradesh,Papum Pare,West of Doimukh slide 1,W of Doimukh,27.194111,93.780944,Debris,Slide,NA
1001,AP/PK/83E04/2021/29,Arunachal Pradesh,East Kameng,NH-31 slide-19,NH-33,27.196944,93.139722,Soil,Slide,NA
1002,AR/WKG/83A12/2021/008,Arunachal Pradesh,West Kameng,NH 13 Slide 6,NH 13,27.204139,92.529278,Rock,Fall,NA
1003,AR/WKG/83A12/2021/009,Arunachal Pradesh,West Kameng,NH 13 Slide 7,NH 13,27.20675,92.537389,Debris,Slide,NA
1004,AR/WKG/83A12/2021/010,Arunachal Pradesh,West Kameng,NH 13 Slide 8,NH 13,27.206917,92.537667,Debris,Slide,NA
1005,AP/PAP/83E12/2021/69,Arunachal Pradesh,Papum Pare,Peech-Hoj village slide,Peech-Hoj village,27.207583,93.615667,Debris,Slide,NA
1006,ARN/PAP/83E12/2017/01,Arunachal Pradesh,Papum Pare,Laptap Landslide,"Trans Arunachal Highway, about 40 km south of the state capital Itanagar",27.207659,93.615842,Debris,Slide,2017
1007,AP/EK/83E03/2021/28,Arunachal Pradesh,Pakke Kessang,Ngoleko Village slide,NH-31,27.208083,93.133472,Soil,Slide,NA
1008,AR/WKG/83A12/2021/011,Arunachal Pradesh,West Kameng,NH 13 Slide 9,NH 13/ W of New Kaspi,27.208222,92.55475,Debris,Slide,NA
1009,AP/PAP/83E12/2021/68,Arunachal Pradesh,Papum Pare,Laptap village slide 2,W of Laptap village,27.210556,93.628556,Debris,Slide,NA
1010,AP/PAP/83E12/2021/67,Arunachal Pradesh,Papum Pare,Laptap village slide 1,Laptap village,27.214778,93.635667,Debris,Slide,NA
1011,AP/EK/83E03/2021/27,Arunachal Pradesh,East Kameng,NH-31 slide-18,"NH-31, Ngoleko Village",27.215611,93.123139,Soil,Slide,NA
1012,AP/EK/83E03/2021/25,Arunachal Pradesh,East Kameng,NH-31 slide-16,NH-31,27.215944,93.069222,Debris,Slide,NA
1013,AP/PAP/83E12/2021/66,Arunachal Pradesh,Papum Pare,"49th K.M Camp, Sagalee slide",49th K.M Camp-Sagalee section,27.216278,93.655639,Debris,Slide,NA
1014,AP/PAP/83E12/2021/65,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 10,Mep Soro-Jote road section,27.216639,93.691472,Debris,Slide,NA
1015,AP/EK/83E03/2021/26,Arunachal Pradesh,East Kameng,NH-31 slide-17,NH-31,27.216778,93.074944,Debris,Slide,NA
1016,AP/EK/83E03/2021/24,Arunachal Pradesh,East Kameng,NH-31 slide-15,NH-31,27.217333,93.064833,Debris,Slide,NA
1017,AP/PAP/83E12/2021/64,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 9,Mep Soro-Jote road section,27.218611,93.695278,Debris,Slide,NA
1018,AP/PAP/83E12/2021/70,Arunachal Pradesh,Papum Pare,Palapu village slide,Palapu village,27.22075,93.581167,Rock,Slide,NA
1019,AP/PAP/83E12/2021/63,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 8,Mep Soro-Jote road section,27.220833,93.698194,Debris,Slide,NA
1020,AP/PAP/83E12/2021/71,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 8,Mep Soro-Jote road section,27.223667,93.580417,Debris,Slide,NA
1021,AP/PAP/83E12/2021/72,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 9,Mep Soro-Jote road section,27.225361,93.570278,Debris,Slide,NA
1022,AR/CHNG/83M16/2022/096,Arunachal Pradesh,Changlang,1.7km SW of Lungsang,Jairampur-Walongtoi road,27.226901,95.905393,Debris,Slide,NA
1023,AP/PAP/83E12/2021/73,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 10,Mep Soro-Jote road section,27.228056,93.568972,Rock,Slide,NA
1024,AP/PAP/83E16/2021/13,Arunachal Pradesh,Papum Pare,N/A,N/A,27.228167,93.799111,Debris,Slide,NA
1025,AP/PAP/83E12/2021/62,Arunachal Pradesh,Papum Pare,West of Mep Soro slide 2,W of Mep Soro,27.234139,93.707861,Rock,Slide,NA
1026,AP/PAP/83E12/2021/74,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 11,Mep Soro-Jote road section,27.234917,93.536139,Debris,Slide,NA
1027,AP/PAP/83E12/2021/75,Arunachal Pradesh,Papum Pare,Sagalee-Jote road section slide 1,Sagalee-Jote road section,27.235306,93.524389,Debris,Slide,NA
1028,AP/PAP/83E12/2021/61,Arunachal Pradesh,Papum Pare,West of Mep Soro slide 1,W of Mep Soro,27.236139,93.715694,Debris,Slide,NA
1029,AP/PAP/83E16/2021/14,Arunachal Pradesh,Papum Pare,West of Doimukh slide 3,W of Doimukh,27.236306,93.807167,Debris,Slide,NA
1030,AP/PAP/83E16/2021/15,Arunachal Pradesh,Papum Pare,West of Doimukh slide 4,W of Doimukh,27.238222,93.806444,Debris,Slide,NA
